,title,runtime,rating,genre,summary
53,154.The Insider(1999),157 min,R,"Biography, Drama, Thriller",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
54,155.The Sixth Sense(1999),107 min,PG-13,"Drama, Mystery, Thriller",
55,156.Shakespeare in Love(1998),123 min,R,"Comedy, Drama, History",A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.
56,157.Elizabeth(1998),124 min,R,"Biography, Drama, History",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
57,158.Life Is Beautiful(1997),116 min,PG-13,"Comedy, Drama, Romance",An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
58,159.Saving Private Ryan(1998),169 min,R,"Drama, War","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
59,160.The Thin Red Line(1998),170 min,R,"Drama, History, War",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
60,161.Titanic(1997),194 min,PG-13,"Drama, Romance",
61,162.As Good as It Gets(1997),139 min,PG-13,"Comedy, Drama, Romance","A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world."
62,163.The Full Monty(1997),91 min,R,"Comedy, Drama","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
63,164.Good Will Hunting(1997),126 min,R,"Drama, Romance",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
64,165.L.A. Confidential(1997),138 min,R,"Crime, Drama, Mystery","A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
65,166.The English Patient(1996),162 min,R,"Drama, Romance, War","The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
66,167.Fargo(1996),98 min,R,"Crime, Thriller",
67,168.Jerry Maguire(1996),139 min,R,"Comedy, Drama, Romance",The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.
68,169.Secrets & Lies(1996),136 min,R,"Comedy, Drama","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
69,170.Shine(1996),105 min,PG-13,"Biography, Drama, Music","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
70,171.Braveheart(1995),178 min,R,"Biography, Drama, History","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
71,172.Apollo 13(I) (1995),140 min,PG,"Adventure, Drama, History","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
72,173.Babe(1995),91 min,G,"Comedy, Drama, Family",
73,174.The Postman(1994),108 min,PG,"Biography, Comedy, Drama","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
74,175.Sense and Sensibility(1995),136 min,PG,"Drama, Romance","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity."
75,176.Forrest Gump(1994),142 min,PG-13,"Drama, Romance","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
76,177.Four Weddings and a Funeral(1994),117 min,R,"Comedy, Drama, Romance","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
77,178.Pulp Fiction(1994),154 min,R,"Crime, Drama","At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair."
78,179.Quiz Show(1994),133 min,PG-13,"Biography, Drama, History",
79,180.The Shawshank Redemption(1994),142 min,R,Drama,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
80,181.Schindler's List(1993),195 min,R,"Biography, Drama, History","When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
81,182.The Fugitive(1993),130 min,PG-13,"Action, Crime, Drama","Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
82,183.In the Name of the Father(1993),133 min,R,"Biography, Crime, Drama","Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
83,184.The Piano(1993),121 min,R,"Drama, Music, Romance",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
84,185.The Remains of the Day(1993),134 min,PG,"Drama, Romance",
85,186.Unforgiven(1992),130 min,R,"Drama, Western",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
86,187.The Crying Game(1992),112 min,R,"Crime, Drama, Romance","Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett."
87,188.A Few Good Men(1992),138 min,R,"Drama, Thriller","A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
88,189.Howards End(1992),142 min,PG,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
89,190.Scent of a Woman(1992),156 min,R,Drama,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
90,191.The Silence of the Lambs(1991),118 min,R,"Crime, Drama, Thriller",
91,192.Beauty and the Beast(1991),84 min,G,"Animation, Family, Fantasy","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
92,193.Bugsy(1991),136 min,R,"Biography, Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
93,194.JFK(1991),189 min,R,"Drama, History, Thriller","A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation."
94,195.The Prince of Tides(1991),132 min,R,"Drama, Romance","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
95,196.Dances with Wolves(1990),181 min,PG-13,"Adventure, Drama, Western","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
96,197.Awakenings(1990),121 min,PG-13,"Biography, Drama",
97,198.Ghost(1990),127 min,PG-13,"Drama, Fantasy, Romance","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
98,199.The Godfather Part III(1990),162 min,R,"Crime, Drama",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
99,200.Goodfellas(1990),145 min,R,"Biography, Crime, Drama","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
0,201.Driving Miss Daisy(1989),99 min,PG,"Comedy, Drama, Romance",An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
1,202.Born on the Fourth of July(1989),145 min,R,"Biography, Drama, War",
2,203.Dead Poets Society(1989),128 min,PG,"Comedy, Drama","The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought."
3,204.Field of Dreams(1989),107 min,PG,"Drama, Family, Fantasy",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
4,205.My Left Foot(1989),103 min,R,"Biography, Drama","Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true."
5,206.Rain Man(1988),133 min,R,Drama,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
6,207.The Accidental Tourist(1988),121 min,PG,"Drama, Romance","After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
7,208.Dangerous Liaisons(1988),119 min,R,"Drama, Romance",
8,209.Mississippi Burning(1988),128 min,R,"Crime, Drama, History",An emotionally distant writer of travel guides must carry on with his life after his son is killed and his marriage crumbles.
9,210.Working Girl(1988),113 min,R,"Comedy, Drama, Romance",A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.
10,211.The Last Emperor(1987),163 min,PG-13,"Biography, Drama, History",Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
11,212.Broadcast News(1987),133 min,R,"Comedy, Drama, Romance","When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job."
12,213.Fatal Attraction(1987),119 min,R,"Drama, Thriller",The story of the final Emperor of China.
13,214.Hope and Glory(1987),113 min,PG-13,"Comedy, Drama, Romance",
14,215.Moonstruck(1987),102 min,PG,"Comedy, Drama, Romance","Take two rival television reporters: one handsome, one talented, both male. Add one producer, female. Mix well, and watch the sparks fly."
15,216.Platoon(1986),120 min,R,"Drama, War",A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.
16,217.Children of a Lesser God(1986),119 min,R,"Drama, Romance","Bill, a young boy living on the outskirts of London experiences the exhilaration of World War II. During this period, Bill learns about sex, death, love, hypocrisy, and the faults of adults as he prowls the ruins of bombed houses."
17,218.Hannah and Her Sisters(1986),107 min,PG-13,"Comedy, Drama","Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry."
18,219.The Mission(1986),125 min,PG,"Adventure, Drama, History","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
19,220.A Room with a View(1985),117 min,Not Rated,"Drama, Romance",
20,221.Out of Africa(1985),161 min,PG,"Biography, Drama, Romance","A new speech teacher at a school for the deaf falls in love with the janitor, a deaf woman speechless by choice."
21,222.The Color Purple(1985),154 min,PG-13,Drama,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
22,223.Kiss of the Spider Woman(1985),120 min,R,Drama,Eighteenth-century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.
23,224.Prizzi's Honor(1985),130 min,R,"Comedy, Crime, Drama","Lucy meets George in a Florence pensione and the two share a brief romance before Lucy returns home, where she becomes engaged to Cecil. However, it isn't long before George unexpectedly enters her life again."
24,225.Witness(1985),112 min,R,"Drama, Romance, Thriller","In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."
25,226.Amadeus(1984),160 min,R,"Biography, Drama, Music",
26,227.The Killing Fields(1984),141 min,R,"Biography, Drama, History",A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
27,228.A Passage to India(1984),164 min,PG,"Adventure, Drama, History",A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.
28,229.Places in the Heart(1984),111 min,PG,Drama,Two professional assassins fall in love.
29,230.A Soldier's Story(1984),101 min,PG,"Crime, Drama, Mystery","When a young Amish boy is sole witness to a murder while visiting Philadelphia with his mother, police detective John Book tries to protect the boy until an attempt on Book's life forces him into hiding in Amish country."
30,231.Terms of Endearment(1983),132 min,PG,"Comedy, Drama","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
31,232.The Big Chill(1983),105 min,R,"Comedy, Drama",
32,233.The Dresser(1983),118 min,PG,Drama,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians."
33,234.The Right Stuff(1983),193 min,PG,"Adventure, Biography, Drama","Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator."
34,235.Tender Mercies(1983),92 min,PG,"Drama, Music","In central Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman."
35,236.Gandhi(1982),191 min,PG,"Biography, Drama",An African-American officer investigates a murder in a racially charged situation in World War II.
36,237.E.T. the Extra-Terrestrial(1982),115 min,PG,"Adventure, Family, Sci-Fi","Follows hard-to-please Aurora looking for love, and her daughter's family problems."
37,238.Missing(1982),122 min,PG,"Biography, Drama, History",
38,239.Tootsie(1982),116 min,PG,"Comedy, Drama, Romance",A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.
39,240.The Verdict(1982),129 min,R,Drama,Personal assistant Norman struggles to get deteriorating veteran actor Sir through a difficult performance of King Lear.
40,241.Chariots of Fire(1981),125 min,PG,"Biography, Drama, Sport","The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred."
41,242.Atlantic City(1980),104 min,R,"Crime, Drama, Romance","A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together."
42,243.On Golden Pond(1981),109 min,PG,Drama,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
43,244.Indiana Jones and the Raiders of the Lost Ark(1981),115 min,PG,"Action, Adventure",
44,245.Reds(1981),195 min,PG,"Biography, Drama, History",A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
45,246.Ordinary People(1980),124 min,R,Drama,"When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him."
46,247.Coal Miner's Daughter(1980),124 min,PG,"Biography, Drama, Music","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
47,248.The Elephant Man(1980),124 min,PG,"Biography, Drama","An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
48,249.Raging Bull(1980),129 min,R,"Biography, Drama, Sport","Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience."
49,250.Tess(1979),186 min,PG,"Drama, Romance",
50,251.Kramer vs. Kramer(1979),105 min,PG,Drama,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger."
51,252.All That Jazz(1979),123 min,R,"Drama, Music, Musical","Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms."
52,253.Apocalypse Now(1979),147 min,R,"Drama, Mystery, War","Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis."
53,254.Breaking Away(1979),101 min,PG,"Comedy, Drama, Sport","A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States."
54,255.Norma Rae(1979),114 min,PG,Drama,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
55,256.The Deer Hunter(1978),183 min,R,"Drama, War",
56,257.Coming Home(1978),127 min,R,"Drama, Romance, War","The fictionalized life of singer Loretta Lynn, a girl who rose from humble beginnings to become a country music star in the 1960s/70s."
57,258.Heaven Can Wait(1978),101 min,PG,"Comedy, Fantasy, Romance","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
58,259.Midnight Express(1978),121 min,R,"Biography, Crime, Drama","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
59,260.An Unmarried Woman(1978),124 min,R,"Comedy, Drama, Romance",A strong-willed young peasant girl attracts the affection of two men.
60,261.Annie Hall(1977),93 min,PG,"Comedy, Romance","After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation."
61,262.The Goodbye Girl(1977),111 min,PG,"Comedy, Drama, Romance",
62,263.Julia(1977),117 min,PG,Drama,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
63,264.Star Wars(1977),121 min,PG,"Action, Adventure, Fantasy",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
64,265.The Turning Point(1977),119 min,PG,"Drama, Romance",A working-class Indiana teen obsessed with the Italian cycling team vies for the affections of a college girl while searching for life goals with his friends.
65,266.Rocky(1976),120 min,PG,"Drama, Sport",A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.
66,267.All the President's Men(1976),138 min,PG,"Drama, History, Thriller",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
67,268.Bound for Glory(1976),147 min,PG,"Biography, Drama, Music",
68,269.Network(1976),121 min,R,Drama,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.
69,270.Taxi Driver(1976),114 min,R,"Crime, Drama","A Los Angeles Rams quarterback, accidentally taken away from his body by an overanxious angel before he was meant to die, returns to life in the body of a recently murdered millionaire."
70,271.One Flew Over the Cuckoo's Nest(1975),133 min,R,Drama,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison."
71,272.Barry Lyndon(1975),185 min,PG,"Adventure, Drama, War",A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.
72,273.Dog Day Afternoon(1975),125 min,R,"Biography, Crime, Drama","Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
73,274.Jaws(1975),124 min,PG,"Adventure, Thriller",
74,275.Nashville(1975),160 min,R,"Comedy, Drama, Music","After being dumped by her live-in boyfriend, an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor."
75,276.The Godfather Part II(1974),202 min,R,"Crime, Drama","At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany."
76,277.Chinatown(1974),130 min,R,"Drama, Mystery, Thriller","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
77,278.The Conversation(1974),113 min,PG,"Drama, Mystery, Thriller","When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family."
78,279.Lenny(1974),111 min,R,"Biography, Drama",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
79,280.The Towering Inferno(1974),165 min,PG,"Action, Drama, Thriller",
80,281.The Sting(1973),129 min,PG,"Comedy, Crime, Drama","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
81,282.American Graffiti(1973),110 min,PG,"Comedy, Drama",The early life of Woody Guthrie as a vagabond folk singer.
82,283.Cries & Whispers(1972),91 min,R,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
83,284.The Exorcist(1973),122 min,R,Horror,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
84,285.A Touch of Class(1973),106 min,PG,"Comedy, Romance","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
85,286.The Godfather(1972),175 min,R,"Crime, Drama",
86,287.Cabaret(1972),124 min,PG,"Drama, Music, Musical",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
87,288.Deliverance(1972),109 min,R,"Adventure, Drama, Thriller","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
88,289.The Emigrants(1971),151 min,PG,"Drama, History","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
89,290.Sounder(1972),105 min,G,"Drama, Family","Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
90,291.The French Connection(1971),104 min,R,"Action, Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
91,292.A Clockwork Orange(1971),136 min,R,"Crime, Sci-Fi",
92,293.Fiddler on the Roof(1971),181 min,G,"Drama, Family, Musical","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
93,294.The Last Picture Show(1971),118 min,R,"Drama, Romance","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
94,295.Nicholas and Alexandra(1971),183 min,GP,"Biography, Drama, History","The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the Establishment as too obscene for the public."
95,296.Patton(1970),172 min,GP,"Biography, Drama, War","At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it."
96,297.Airport(1970),137 min,G,"Action, Drama, Thriller",Two grifters team up to pull off the ultimate con.
97,298.Five Easy Pieces(1970),98 min,R,Drama,
98,299.Love Story(1970),100 min,PG,"Drama, Romance",A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.
99,300.MASH(1970),116 min,R,"Comedy, Drama, War","When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
0,301.Midnight Cowboy(1969),113 min,R,Drama,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
1,302.Anne of the Thousand Days(1969),145 min,PG,"Biography, Drama, History",
2,303.Butch Cassidy and the Sundance Kid(1969),110 min,PG,"Biography, Crime, Drama","King Henry VIII of England discards one wife, Catharine of Aragon, who has failed to produce a male heir, in favor of the young and beautiful Anne Boleyn."
3,"304.Hello, Dolly!(1969)",146 min,G,"Adventure, Comedy, Musical","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
4,305.Z(1969),127 min,M/PG,"Crime, Drama, Thriller","Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to New York City along the way."
5,306.Oliver!(1968),153 min,G,"Drama, Family, Musical",The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
6,307.Funny Girl(1968),151 min,G,"Biography, Comedy, Drama","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London."
7,308.The Lion in Winter(1968),134 min,PG,"Biography, Drama, History",
8,"309.Rachel, Rachel(1968)",101 min,R,"Drama, Romance","The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein."
9,310.Romeo and Juliet(1968),138 min,PG,"Drama, Romance","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
10,311.In the Heat of the Night(1967),110 min,Approved,"Drama, Mystery, Thriller","Rachel is a lonely school teacher who lives with her mother. When a man from the big city asks her out, she starts thinking about where she wants her life to go."
11,312.Bonnie and Clyde(1967),111 min,R,"Action, Biography, Crime","When two young members of feuding families meet, forbidden love ensues."
12,313.Doctor Dolittle(1967),152 min,Approved,"Adventure, Comedy, Family","A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
13,314.The Graduate(1967),106 min,PG,"Comedy, Drama, Romance",
14,315.Guess Who's Coming to Dinner(1967),108 min,Approved,"Comedy, Drama","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
