,title,runtime,rating,genre,summary,gross,release_year,matches,category,nominee,oscar_year,winner
222,Places in the Heart,111 min,PG,Drama,"In central Texas in the 1930s, a widow with two small children tries to save her small 40-acre farm with the help of a blind boarder and an itinerant black handyman.","34,901,614.00",1984,Places in the Heart,Best Picture,Places in the Heart,1985,0
223,Amadeus,160 min,R,"Biography, Drama, Music","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","51,973,029.00",1984,Amadeus,Best Picture,Amadeus,1985,1
224,The Dresser,118 min,PG,Drama,Personal assistant Norman struggles to get deteriorating veteran actor Sir through a difficult performance of King Lear.,"5,310,748.00",1983,The Dresser,Best Picture,The Dresser,1984,0
225,Tender Mercies,92 min,PG,"Drama, Music","A broken-down, middle-aged country singer gets a new wife, reaches out to his long-lost daughter, and tries to put his troubled life back together.","8,443,124.00",1983,Tender Mercies,Best Picture,Tender Mercies,1984,0
226,The Right Stuff,193 min,PG,"Adventure, Biography, Drama","The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred.","21,500,000.00",1983,The Right Stuff,Best Picture,The Right Stuff,1984,0
227,The Big Chill,105 min,R,"Comedy, Drama",A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.,"56,200,000.00",1983,The Big Chill,Best Picture,The Big Chill,1984,0
228,Terms of Endearment,132 min,PG,"Comedy, Drama","Follows hard-to-please Aurora looking for love, and her daughter's family problems.","108,423,489.00",1983,Terms of Endearment,Best Picture,Terms of Endearment,1984,1
229,Missing,122 min,PG,"Biography, Drama, History","When an idealistic American writer disappears during the Chilean coup d'état in September 1973, his wife and father try to find him.","14,000,000.00",1982,Missing,Best Picture,Missing,1983,0
230,Gandhi,191 min,PG,"Biography, Drama",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"52,767,889.00",1982,Gandhi,Best Picture,Gandhi,1983,1
231,The Verdict,129 min,R,Drama,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.","54,000,000.00",1982,The Verdict,Best Picture,The Verdict,1983,0
232,Tootsie,116 min,PG,"Comedy, Drama, Romance","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","177,200,000.00",1982,Tootsie,Best Picture,Tootsie,1983,0
233,E.T. the Extra-Terrestrial,115 min,PG,"Adventure, Family, Sci-Fi",A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,"435,110,554.00",1982,E.T. The Extra-Terrestrial,Best Picture,E.T. The Extra-Terrestrial,1983,0
234,Atlantic City,104 min,R,"Crime, Drama, Romance","In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.","12,729,675.00",1980,Atlantic City,Best Picture,Atlantic City,1982,0
235,Reds,195 min,PG,"Biography, Drama, History","A radical American journalist becomes involved with the Communist revolution in Russia, and hopes to bring its spirit and idealism to the United States.","40,382,659.00",1981,Reds,Best Picture,Reds,1982,0
236,Chariots of Fire,125 min,PG,"Biography, Drama, Sport","Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.","58,972,904.00",1981,Chariots of Fire,Best Picture,Chariots of Fire,1982,1
237,On Golden Pond,109 min,PG,Drama,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.","119,285,432.00",1981,On Golden Pond,Best Picture,On Golden Pond,1982,0
238,Indiana Jones and the Raiders of the Lost Ark,115 min,PG,"Action, Adventure","Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.","248,159,971.00",1981,Raiders of the Lost Ark,Best Picture,Raiders of the Lost Ark,1982,0
239,Raging Bull,129 min,R,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","23,383,987.00",1980,Raging Bull,Best Picture,Raging Bull,1981,0
240,Ordinary People,124 min,R,Drama,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.","54,800,000.00",1980,Ordinary People,Best Picture,Ordinary People,1981,1
241,Coal Miner's Daughter,124 min,PG,"Biography, Drama, Music","The fictionalized life of singer Loretta Lynn, a girl who rose from humble beginnings to become a country music star in the 1960s/70s.","67,182,787.00",1980,Coal Miner's Daughter,Best Picture,Coal Miner's Daughter,1981,0
242,The Elephant Man,124 min,PG,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","26,010,864.00",1980,The Elephant Man,Best Picture,The Elephant Man,1981,0
243,Tess,186 min,PG,"Drama, Romance",A strong-willed young peasant girl attracts the affection of two men.,"20,093,330.00",1979,Tess,Best Picture,Tess,1981,0
244,Breaking Away,101 min,PG,"Comedy, Drama, Sport",A working-class Indiana teen obsessed with the Italian cycling team vies for the affections of a college girl while searching for life goals with his friends.,"16,424,918.00",1979,Breaking Away,Best Picture,Breaking Away,1980,0
245,Norma Rae,114 min,PG,Drama,A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.,"22,228,000.00",1979,Norma Rae,Best Picture,Norma Rae,1980,0
246,All That Jazz,123 min,R,"Drama, Music, Musical","Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.","37,823,676.00",1979,All That Jazz,Best Picture,All That Jazz,1980,0
247,Apocalypse Now,147 min,R,"Drama, Mystery, War",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"83,471,511.00",1979,Apocalypse Now,Best Picture,Apocalypse Now,1980,0
248,Kramer vs. Kramer,105 min,PG,Drama,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.","106,260,000.00",1979,Kramer vs. Kramer,Best Picture,Kramer vs. Kramer,1980,1
249,An Unmarried Woman,124 min,R,"Comedy, Drama, Romance",A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.,"24,000,000.00",1978,An Unmarried Woman,Best Picture,An Unmarried Woman,1979,0
250,Coming Home,127 min,R,"Drama, Romance, War",A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.,"32,653,905.00",1978,Coming Home,Best Picture,Coming Home,1979,0
251,Midnight Express,121 min,R,"Biography, Crime, Drama","Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.","35,000,000.00",1978,Midnight Express,Best Picture,Midnight Express,1979,0
252,The Deer Hunter,183 min,R,"Drama, War",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"48,979,328.00",1978,The Deer Hunter,Best Picture,The Deer Hunter,1979,1
253,Heaven Can Wait,101 min,PG,"Comedy, Fantasy, Romance","A Los Angeles Rams quarterback, accidentally taken away from his body by an overanxious angel before he was meant to die, returns to life in the body of a recently murdered millionaire.","81,640,278.00",1978,Heaven Can Wait,Best Picture,Heaven Can Wait,1979,0
254,The Turning Point,119 min,PG,"Drama, Romance","When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family.","33,600,000.00",1977,The Turning Point,Best Picture,The Turning Point,1978,0
255,Annie Hall,93 min,PG,"Comedy, Romance","Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.","39,200,000.00",1977,Annie Hall,Best Picture,Annie Hall,1978,1
256,The Goodbye Girl,111 min,PG,"Comedy, Drama, Romance","After being dumped by her live-in boyfriend, an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.","102,000,000.00",1977,The Goodbye Girl,Best Picture,The Goodbye Girl,1978,0
257,Star Wars,121 min,PG,"Action, Adventure, Fantasy","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","322,740,140.00",1977,Star Wars,Best Picture,Star Wars,1978,0
258,Julia,117 min,PG,Drama,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.","20,714,400.00",1977,Julia,Best Picture,Julia,1978,0
259,Taxi Driver,114 min,R,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","28,262,574.00",1976,Taxi Driver,Best Picture,Taxi Driver,1977,0
260,All the President's Men,138 min,PG,"Drama, History, Thriller","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","70,600,000.00",1976,All the President's Men,Best Picture,All the President's Men,1977,0
261,Rocky,120 min,PG,"Drama, Sport",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"117,235,247.00",1976,Rocky,Best Picture,Rocky,1977,1
262,Bound for Glory,147 min,PG,"Biography, Drama, Music",The early life of Woody Guthrie as a vagabond folk singer.,,1976,Bound for Glory,Best Picture,Bound for Glory,1977,0
263,Network,121 min,R,Drama,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.","23,689,877.00",1976,Network,Best Picture,Network,1977,0
264,Nashville,160 min,R,"Comedy, Drama, Music","Over the course of a few hectic days, numerous interrelated people prepare for a political convention.","14,824,000.00",1975,Nashville,Best Picture,Nashville,1976,0
265,Dog Day Afternoon,125 min,R,"Biography, Crime, Drama","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.","50,000,000.00",1975,Dog Day Afternoon,Best Picture,Dog Day Afternoon,1976,0
266,One Flew Over the Cuckoo's Nest,133 min,R,Drama,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","112,000,000.00",1975,One Flew over the Cuckoo's Nest,Best Picture,One Flew over the Cuckoo's Nest,1976,1
267,Jaws,124 min,PG,"Adventure, Thriller","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","260,000,000.00",1975,Jaws,Best Picture,Jaws,1976,0
268,Barry Lyndon,185 min,PG,"Adventure, Drama, War",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"198,992.00",1975,Barry Lyndon,Best Picture,Barry Lyndon,1976,0
269,The Conversation,113 min,PG,"Drama, Mystery, Thriller","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.","4,420,000.00",1974,The Conversation,Best Picture,The Conversation,1975,0
270,Lenny,111 min,R,"Biography, Drama","The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the Establishment as too obscene for the public.","8,427,866.00",1974,Lenny,Best Picture,Lenny,1975,0
271,Chinatown,130 min,R,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","8,486,653.00",1974,Chinatown,Best Picture,Chinatown,1975,0
272,The Godfather Part II,202 min,R,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","57,300,000.00",1974,The Godfather Part II,Best Picture,The Godfather Part II,1975,1
273,The Godfather Part III,162 min,R,"Crime, Drama","Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.","66,666,062.00",1990,The Godfather Part II,Best Picture,The Godfather Part II,1975,1
274,The Towering Inferno,165 min,PG,"Action, Drama, Thriller","At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.","116,000,000.00",1974,The Towering Inferno,Best Picture,The Towering Inferno,1975,0
275,Cries & Whispers,91 min,R,Drama,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.","1,742,348.00",1972,Cries and Whispers,Best Picture,Cries and Whispers,1974,0
276,A Touch of Class,106 min,PG,"Comedy, Romance",Romantic comedy about a pair of clandestine lovers in a London-Spain tryst.,"18,312,000.00",1973,A Touch of Class,Best Picture,A Touch of Class,1974,0
277,American Graffiti,110 min,PG,"Comedy, Drama",A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,"115,000,000.00",1973,American Graffiti,Best Picture,American Graffiti,1974,0
278,The Sting,129 min,PG,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,"159,600,000.00",1973,The Sting,Best Picture,The Sting,1974,1
279,The Exorcist,122 min,R,Horror,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.","232,906,145.00",1973,The Exorcist,Best Picture,The Exorcist,1974,0
280,The Emigrants,151 min,PG,"Drama, History","Småland, Sweden, mid-19th century. A farming family struggle with their rocky, unyielding land, and decide to embark on the arduous journey to new hope in America.","1,156,554.00",1971,The Emigrants,Best Picture,The Emigrants,1973,0
281,Sounder,105 min,G,"Drama, Family",The oldest son of a loving and strong family of black sharecroppers comes of age in the Depression-era South after his father is imprisoned for stealing food.,"3,100,601.00",1972,Sounder,Best Picture,Sounder,1973,0
282,Deliverance,109 min,R,"Adventure, Drama, Thriller","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.","7,056,013.00",1972,Deliverance,Best Picture,Deliverance,1973,0
283,Cabaret,124 min,PG,"Drama, Music, Musical",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,"42,765,000.00",1972,Cabaret,Best Picture,Cabaret,1973,0
284,The Godfather,175 min,R,"Crime, Drama",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"134,966,411.00",1972,The Godfather,Best Picture,The Godfather,1973,1
285,Nicholas and Alexandra,183 min,GP,"Biography, Drama, History","Tsar Nicholas II, the inept last monarch of Russia, insensitive to the needs of his people, is overthrown and exiled to Siberia with his family.","3,964,917.00",1971,Nicholas and Alexandra,Best Picture,Nicholas and Alexandra,1972,0
286,A Clockwork Orange,136 min,R,"Crime, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","6,207,725.00",1971,A Clockwork Orange,Best Picture,A Clockwork Orange,1972,0
287,The French Connection,104 min,R,"Action, Crime, Drama","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.","15,630,710.00",1971,The French Connection,Best Picture,The French Connection,1972,1
288,The Last Picture Show,118 min,R,"Drama, Romance","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","29,133,000.00",1971,The Last Picture Show,Best Picture,The Last Picture Show,1972,0
289,Fiddler on the Roof,181 min,G,"Drama, Family, Musical","In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.","80,500,000.00",1971,Fiddler on the Roof,Best Picture,Fiddler on the Roof,1972,0
290,Five Easy Pieces,98 min,R,Drama,"A dropout from upper-class America picks up work along the way on oil rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.","19,402,000.00",1970,Five Easy Pieces,Best Picture,Five Easy Pieces,1971,0
291,Patton,172 min,GP,"Biography, Drama, War",The World War II phase of the career of controversial American general George S. Patton.,"61,700,000.00",1970,Patton,Best Picture,Patton,1971,1
292,MASH,116 min,R,"Comedy, Drama, War",The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,"81,600,000.00",1970,M*A*S*H,Best Picture,M*A*S*H,1971,0
293,Airport,137 min,G,"Action, Drama, Thriller","A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.","100,489,150.00",1970,Airport,Best Picture,Airport,1971,0
294,Love Story,100 min,PG,"Drama, Romance",A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,"106,400,000.00",1970,Love Story,Best Picture,Love Story,1971,0
295,Z,127 min,M/PG,"Crime, Drama, Thriller",The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,"83,305.00",1969,Z,Best Picture,Z,1970,0
296,Anne of the Thousand Days,145 min,PG,"Biography, Drama, History","King Henry VIII of England discards one wife, Catharine of Aragon, who has failed to produce a male heir, in favor of the young and beautiful Anne Boleyn.","2,068,232.00",1969,Anne of the Thousand Days,Best Picture,Anne of the Thousand Days,1970,0
297,"Hello, Dolly!",146 min,G,"Adventure, Comedy, Musical","Matchmaker Dolly Levi travels to Yonkers to find a partner for ""half-a-millionaire"" Horace Vandergelder, convincing his niece, his niece's intended, and his two clerks to travel to New York City along the way.","7,239,608.00",1969,"Hello, Dolly!",Best Picture,"Hello, Dolly!",1970,0
298,Midnight Cowboy,113 min,R,Drama,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.","44,785,053.00",1969,Midnight Cowboy,Best Picture,Midnight Cowboy,1970,1
299,Butch Cassidy and the Sundance Kid,110 min,PG,"Biography, Crime, Drama","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","102,308,889.00",1969,Butch Cassidy and the Sundance Kid,Best Picture,Butch Cassidy and the Sundance Kid,1970,0
300,Oliver!,153 min,G,"Drama, Family, Musical","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London.","16,800,000.00",1968,Oliver!,Best Picture,Oliver!,1969,1
301,The Lion in Winter,134 min,PG,"Biography, Drama, History","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.","22,276,975.00",1968,The Lion in Winter,Best Picture,The Lion in Winter,1969,0
302,Romeo and Juliet,138 min,PG,"Drama, Romance","When two young members of feuding families meet, forbidden love ensues.","38,901,218.00",1968,Romeo and Juliet,Best Picture,Romeo and Juliet,1969,0
303,Funny Girl,151 min,G,"Biography, Comedy, Drama","The life of Fanny Brice, famed comedienne and entertainer of the early 1900s. We see her rise to fame as a Ziegfeld girl, subsequent career, and her personal life, particularly her relationship with Nick Arnstein.","58,500,000.00",1968,Funny Girl,Best Picture,Funny Girl,1969,0
304,"Rachel, Rachel",101 min,R,"Drama, Romance","Rachel is a lonely school teacher who lives with her mother. When a man from the big city asks her out, she starts thinking about where she wants her life to go.",,1968,"Rachel, Rachel",Best Picture,"Rachel, Rachel",1969,0
305,Doctor Dolittle,152 min,Approved,"Adventure, Comedy, Family","After the animal communicating veterinarian goes too far for his clientele, he and his friends escape their hometown to the sea in search of the Great Pink Sea Snail.","13,516,000.00",1967,Doctor Dolittle,Best Picture,Doctor Dolittle,1968,0
306,In the Heat of the Night,110 min,Approved,"Drama, Mystery, Thriller","A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.","24,379,978.00",1967,In the Heat of the Night,Best Picture,In the Heat of the Night,1968,1
307,Guess Who's Coming to Dinner,108 min,Approved,"Comedy, Drama",A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,"56,700,000.00",1967,Guess Who's Coming to Dinner,Best Picture,Guess Who's Coming to Dinner,1968,0
308,The Graduate,106 min,PG,"Comedy, Drama, Romance",A disillusioned college graduate finds himself torn between his older lover and her daughter.,"104,945,305.00",1967,The Graduate,Best Picture,The Graduate,1968,0
309,Bonnie and Clyde,111 min,R,"Action, Biography, Crime","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",,1967,Bonnie and Clyde,Best Picture,Bonnie and Clyde,1968,0
310,Alfie,114 min,PG,"Comedy, Drama",An unrepentant ladies' man gradually begins to understand the consequences of his lifestyle.,"18,871,300.00",1966,Alfie,Best Picture,Alfie,1967,0
311,The Russians Are Coming the Russians Are Coming,126 min,Unrated,"Comedy, War","Without hostile intent, a Soviet submarine runs aground off New England. Men are sent for a boat, but many villagers go into a tizzy, risking bloodshed.","21,693,114.00",1966,The Russians Are Coming The Russians Are Coming,Best Picture,The Russians Are Coming The Russians Are Coming,1967,0
312,A Man for All Seasons,120 min,G,"Biography, Drama, History","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.","28,350,000.00",1966,A Man for All Seasons,Best Picture,A Man for All Seasons,1967,1
313,The Sand Pebbles,182 min,PG-13,"Adventure, Drama, Romance","In 1926, a U.S. Naval engineer gets assigned to a gunboat on a rescue mission in war-torn China.",,1966,The Sand Pebbles,Best Picture,The Sand Pebbles,1967,0
314,Who's Afraid of Virginia Woolf?,131 min,Not Rated,Drama,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.","28,000,000.00",1966,Who's Afraid of Virginia Woolf?,Best Picture,Who's Afraid of Virginia Woolf?,1967,0
315,A Thousand Clowns,118 min,Unrated,"Comedy, Drama, Romance","A middle-aged iconoclast, doggedly avoiding the tedium of employment and conventional life, faces the prospect of losing custody of his young ward.","5,232,000.00",1965,A Thousand Clowns,Best Picture,A Thousand Clowns,1966,0
316,Doctor Zhivago,197 min,PG-13,"Drama, Romance, War","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","111,722,000.00",1965,Doctor Zhivago,Best Picture,Doctor Zhivago,1966,0
317,The Sound of Music,172 min,G,"Biography, Drama, Family",A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"163,214,286.00",1965,The Sound of Music,Best Picture,The Sound of Music,1966,1
318,Darling,128 min,TV-MA,"Drama, Romance",Beautiful but amoral model Diana Scott sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,,1965,Darling,Best Picture,Darling,1966,0
319,Ship of Fools,149 min,Not Rated,"Drama, Romance, War",A varied group of passengers boarding a ship bound for pre-WWII Germany represents a microcosm of early 1930s society.,,1965,Ship of Fools,Best Picture,Ship of Fools,1966,0
320,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95 min,PG,"Comedy, War","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","275,902.00",1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Best Picture,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,0
321,My Fair Lady,170 min,G,"Drama, Family, Musical","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.","72,000,000.00",1964,My Fair Lady,Best Picture,My Fair Lady,1965,1
322,Mary Poppins,139 min,G,"Comedy, Family, Fantasy","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","102,272,727.00",1964,Mary Poppins,Best Picture,Mary Poppins,1965,0
323,Becket,148 min,PG-13,"Biography, Drama, History","King Henry II of England comes to terms with his affection for his close friend and confidant Thomas Becket, who finds his true honor by observing God's divine will rather than the King's.","149,327.00",1964,Becket,Best Picture,Becket,1965,0
324,Zorba the Greek,142 min,Not Rated,"Comedy, Drama","An uptight English writer travelling to Crete, on a matter of business, finds his life changed forever when he meets the gregarious Alexis Zorba.",,1964,Zorba the Greek,Best Picture,Zorba the Greek,1965,0
325,Tom Jones,129 min,Not Rated,"Adventure, Comedy, History",The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th-century England.,"37,600,000.00",1963,Tom Jones,Best Picture,Tom Jones,1964,1
326,How the West Was Won,164 min,G,Western,"A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads.","46,500,000.00",1962,How the West Was Won,Best Picture,How the West Was Won,1964,0
327,Cleopatra,192 min,G,"Biography, Drama, History",Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,"57,777,778.00",1963,Cleopatra,Best Picture,Cleopatra,1964,0
328,America America,174 min,Approved,Drama,A young Greek stops at nothing to secure a passage to America.,,1963,America America,Best Picture,America America,1964,0
329,Lilies of the Field,94 min,Unrated,Drama,A travelling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.,,1963,Lilies of the Field,Best Picture,Lilies of the Field,1964,0
330,Mutiny on the Bounty,178 min,Not Rated,"Adventure, Drama, History","In 1787, British ship Bounty leaves Portsmouth to bring a cargo of bread-fruit from Tahiti but the savage on-board conditions imposed by Captain Bligh trigger a mutiny led by officer Fletcher Christian.","13,680,000.00",1962,Mutiny on the Bounty,Best Picture,Mutiny on the Bounty,1963,0
331,The Music Man,151 min,G,"Comedy, Family, Musical",Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys' band leader to raise money before he can skip town.,"14,953,846.00",1962,Meredith Willson's The Music Man,Best Picture,Meredith Willson's The Music Man,1963,0
332,The Longest Day,178 min,G,"Action, Drama, History","The events of D-Day, told on a grand scale from both the Allied and German points of view.","39,100,000.00",1962,The Longest Day,Best Picture,The Longest Day,1963,0
333,Lawrence of Arabia,218 min,Approved,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","44,824,144.00",1962,Lawrence of Arabia,Best Picture,Lawrence of Arabia,1963,1
334,To Kill a Mockingbird,129 min,Approved,"Crime, Drama","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.","592,237.00",1962,To Kill a Mockingbird,Best Picture,To Kill a Mockingbird,1963,0
