,category,nominee,year,winner
4944,Best Picture,Lawrence of Arabia,1963,1.0
4945,Best Picture,The Longest Day,1963,0.0
4946,Best Picture,Meredith Willson's The Music Man,1963,0.0
4947,Best Picture,Mutiny on the Bounty,1963,0.0
4948,Best Picture,To Kill a Mockingbird,1963,0.0
5103,Best Picture,Tom Jones,1964,1.0
5104,Best Picture,America America,1964,0.0
5105,Best Picture,Cleopatra,1964,0.0
5106,Best Picture,How the West Was Won,1964,0.0
5107,Best Picture,Lilies of the Field,1964,0.0
5229,Best Picture,My Fair Lady,1965,1.0
5230,Best Picture,Becket,1965,0.0
5231,Best Picture,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1965,0.0
5232,Best Picture,Mary Poppins,1965,0.0
5233,Best Picture,Zorba the Greek,1965,0.0
5423,Best Picture,The Sound of Music,1966,1.0
5424,Best Picture,Darling,1966,0.0
5425,Best Picture,Doctor Zhivago,1966,0.0
5426,Best Picture,Ship of Fools,1966,0.0
5427,Best Picture,A Thousand Clowns,1966,0.0
5618,Best Picture,A Man for All Seasons,1967,1.0
5619,Best Picture,Alfie,1967,0.0
5620,Best Picture,The Russians Are Coming The Russians Are Coming,1967,0.0
5621,Best Picture,The Sand Pebbles,1967,0.0
5622,Best Picture,Who's Afraid of Virginia Woolf?,1967,0.0
5798,Best Picture,In the Heat of the Night,1968,1.0
5799,Best Picture,Bonnie and Clyde,1968,0.0
5800,Best Picture,Doctor Dolittle,1968,0.0
5801,Best Picture,The Graduate,1968,0.0
5802,Best Picture,Guess Who's Coming to Dinner,1968,0.0
5941,Best Picture,Oliver!,1969,1.0
5942,Best Picture,Funny Girl,1969,0.0
5943,Best Picture,The Lion in Winter,1969,0.0
5944,Best Picture,"Rachel, Rachel",1969,0.0
5945,Best Picture,Romeo and Juliet,1969,0.0
6080,Best Picture,Midnight Cowboy,1970,1.0
6081,Best Picture,Anne of the Thousand Days,1970,0.0
6082,Best Picture,Butch Cassidy and the Sundance Kid,1970,0.0
6083,Best Picture,"Hello, Dolly!",1970,0.0
6084,Best Picture,Z,1970,0.0
6256,Best Picture,Patton,1971,1.0
6257,Best Picture,Airport,1971,0.0
6258,Best Picture,Five Easy Pieces,1971,0.0
6259,Best Picture,Love Story,1971,0.0
6260,Best Picture,M*A*S*H,1971,0.0
6360,Best Picture,The French Connection,1972,1.0
6361,Best Picture,A Clockwork Orange,1972,0.0
6362,Best Picture,Fiddler on the Roof,1972,0.0
6363,Best Picture,The Last Picture Show,1972,0.0
6364,Best Picture,Nicholas and Alexandra,1972,0.0
6497,Best Picture,The Godfather,1973,1.0
6498,Best Picture,Cabaret,1973,0.0
6499,Best Picture,Deliverance,1973,0.0
6500,Best Picture,The Emigrants,1973,0.0
6501,Best Picture,Sounder,1973,0.0
6671,Best Picture,The Sting,1974,1.0
6672,Best Picture,American Graffiti,1974,0.0
6673,Best Picture,Cries and Whispers,1974,0.0
6674,Best Picture,The Exorcist,1974,0.0
6675,Best Picture,A Touch of Class,1974,0.0
6805,Best Picture,The Godfather Part II,1975,1.0
6806,Best Picture,Chinatown,1975,0.0
6807,Best Picture,The Conversation,1975,0.0
6808,Best Picture,Lenny,1975,0.0
6809,Best Picture,The Towering Inferno,1975,0.0
6982,Best Picture,One Flew over the Cuckoo's Nest,1976,1.0
6983,Best Picture,Barry Lyndon,1976,0.0
6984,Best Picture,Dog Day Afternoon,1976,0.0
6985,Best Picture,Jaws,1976,0.0
6986,Best Picture,Nashville,1976,0.0
7125,Best Picture,Rocky,1977,1.0
7126,Best Picture,All the President's Men,1977,0.0
7127,Best Picture,Bound for Glory,1977,0.0
7128,Best Picture,Network,1977,0.0
7129,Best Picture,Taxi Driver,1977,0.0
7301,Best Picture,Annie Hall,1978,1.0
7302,Best Picture,The Goodbye Girl,1978,0.0
7303,Best Picture,Julia,1978,0.0
7304,Best Picture,Star Wars,1978,0.0
7305,Best Picture,The Turning Point,1978,0.0
7441,Best Picture,The Deer Hunter,1979,1.0
7442,Best Picture,Coming Home,1979,0.0
7443,Best Picture,Heaven Can Wait,1979,0.0
7444,Best Picture,Midnight Express,1979,0.0
7445,Best Picture,An Unmarried Woman,1979,0.0
7617,Best Picture,Kramer vs. Kramer,1980,1.0
7618,Best Picture,All That Jazz,1980,0.0
7619,Best Picture,Apocalypse Now,1980,0.0
7620,Best Picture,Breaking Away,1980,0.0
7621,Best Picture,Norma Rae,1980,0.0
7722,Best Picture,Ordinary People,1981,1.0
7723,Best Picture,Coal Miner's Daughter,1981,0.0
7724,Best Picture,The Elephant Man,1981,0.0
7725,Best Picture,Raging Bull,1981,0.0
7726,Best Picture,Tess,1981,0.0
7894,Best Picture,Chariots of Fire,1982,1.0
7895,Best Picture,Atlantic City,1982,0.0
7896,Best Picture,On Golden Pond,1982,0.0
7897,Best Picture,Raiders of the Lost Ark,1982,0.0
7898,Best Picture,Reds,1982,0.0
8034,Best Picture,Gandhi,1983,1.0
8035,Best Picture,E.T. The Extra-Terrestrial,1983,0.0
8036,Best Picture,Missing,1983,0.0
8037,Best Picture,Tootsie,1983,0.0
8038,Best Picture,The Verdict,1983,0.0
8176,Best Picture,Terms of Endearment,1984,1.0
8177,Best Picture,The Big Chill,1984,0.0
8178,Best Picture,The Dresser,1984,0.0
8179,Best Picture,The Right Stuff,1984,0.0
8180,Best Picture,Tender Mercies,1984,0.0
8316,Best Picture,Amadeus,1985,1.0
8317,Best Picture,The Killing Fields,1985,0.0
8318,Best Picture,A Passage to India,1985,0.0
8319,Best Picture,Places in the Heart,1985,0.0
8320,Best Picture,A Soldier's Story,1985,0.0
8454,Best Picture,Out of Africa,1986,1.0
8455,Best Picture,The Color Purple,1986,0.0
8456,Best Picture,Kiss of the Spider Woman,1986,0.0
8457,Best Picture,Prizzi's Honor,1986,0.0
8458,Best Picture,Witness,1986,0.0
8599,Best Picture,Platoon,1987,1.0
8600,Best Picture,Children of a Lesser God,1987,0.0
8601,Best Picture,Hannah and Her Sisters,1987,0.0
8602,Best Picture,The Mission,1987,0.0
8603,Best Picture,A Room with a View,1987,0.0
8742,Best Picture,The Last Emperor,1988,1.0
8743,Best Picture,Broadcast News,1988,0.0
8744,Best Picture,Fatal Attraction,1988,0.0
8745,Best Picture,Hope and Glory,1988,0.0
8746,Best Picture,Moonstruck,1988,0.0
8846,Best Picture,Rain Man,1989,1.0
8847,Best Picture,The Accidental Tourist,1989,0.0
8848,Best Picture,Dangerous Liaisons,1989,0.0
8849,Best Picture,Mississippi Burning,1989,0.0
8850,Best Picture,Working Girl,1989,0.0
8985,Best Picture,Driving Miss Daisy,1990,1.0
8986,Best Picture,Born on the Fourth of July,1990,0.0
8987,Best Picture,Dead Poets Society,1990,0.0
8988,Best Picture,Field of Dreams,1990,0.0
8989,Best Picture,My Left Foot,1990,0.0
9129,Best Picture,Dances With Wolves,1991,1.0
9130,Best Picture,Awakenings,1991,0.0
9131,Best Picture,Ghost,1991,0.0
9132,Best Picture,"The Godfather, Part III",1991,0.0
9133,Best Picture,Good Fellas,1991,0.0
9274,Best Picture,The Silence of the Lambs,1992,1.0
9275,Best Picture,Beauty and the Beast,1992,0.0
9276,Best Picture,Bugsy,1992,0.0
9277,Best Picture,JFK,1992,0.0
9278,Best Picture,The Prince of Tides,1992,0.0
9446,Best Picture,Unforgiven,1993,1.0
9447,Best Picture,The Crying Game,1993,0.0
9448,Best Picture,A Few Good Men,1993,0.0
9449,Best Picture,Howards End,1993,0.0
9450,Best Picture,Scent of a Woman,1993,0.0
9590,Best Picture,Schindler's List,1994,1.0
9591,Best Picture,The Fugitive,1994,0.0
9592,Best Picture,In the Name of the Father,1994,0.0
9593,Best Picture,The Piano,1994,0.0
9594,Best Picture,The Remains of the Day,1994,0.0
9774,Best Picture,Forrest Gump,1995,1.0
9775,Best Picture,Four Weddings and a Funeral,1995,0.0
9776,Best Picture,Pulp Fiction,1995,0.0
9777,Best Picture,Quiz Show,1995,0.0
9778,Best Picture,The Shawshank Redemption,1995,0.0
9891,Best Picture,Braveheart,1996,1.0
9892,Best Picture,Apollo 13,1996,0.0
9893,Best Picture,Babe,1996,0.0
9894,Best Picture,The Postman (Il Postino),1996,0.0
9895,Best Picture,Sense and Sensibility,1996,0.0
10045,Best Picture,The English Patient,1997,1.0
10046,Best Picture,Fargo,1997,0.0
10047,Best Picture,Jerry Maguire,1997,0.0
10048,Best Picture,Secrets & Lies,1997,0.0
10049,Best Picture,Shine,1997,0.0
10159,Best Picture,Titanic,1998,1.0
10160,Best Picture,As Good as It Gets,1998,0.0
10161,Best Picture,The Full Monty,1998,0.0
10162,Best Picture,Good Will Hunting,1998,0.0
10163,Best Picture,L.A. Confidential,1998,0.0
10311,Best Picture,Shakespeare in Love,1999,1.0
10312,Best Picture,Elizabeth,1999,0.0
10313,Best Picture,Life Is Beautiful,1999,0.0
10314,Best Picture,Saving Private Ryan,1999,0.0
10315,Best Picture,The Thin Red Line,1999,0.0
10461,Best Picture,American Beauty,2000,1.0
10462,Best Picture,The Cider House Rules,2000,0.0
10463,Best Picture,The Green Mile,2000,0.0
10464,Best Picture,The Insider,2000,0.0
10465,Best Picture,The Sixth Sense,2000,0.0
10609,Best Picture,Gladiator,2001,1.0
10610,Best Picture,Chocolat,2001,0.0
10611,Best Picture,"Crouching Tiger, Hidden Dragon",2001,0.0
10612,Best Picture,Erin Brockovich,2001,0.0
10613,Best Picture,Traffic,2001,0.0
10751,Best Picture,A Beautiful Mind,2002,1.0
10752,Best Picture,Gosford Park,2002,0.0
10753,Best Picture,In the Bedroom,2002,0.0
10754,Best Picture,The Lord of the Rings: The Fellowship of the Ring,2002,0.0
10755,Best Picture,Moulin Rouge,2002,0.0
10863,Best Picture,Chicago,2003,1.0
10864,Best Picture,Gangs of New York,2003,0.0
10865,Best Picture,The Hours,2003,0.0
10866,Best Picture,The Lord of the Rings: The Two Towers,2003,0.0
10867,Best Picture,The Pianist,2003,0.0
10974,Best Picture,The Lord of the Rings: The Return of the King,2004,1.0
10975,Best Picture,Lost in Translation,2004,0.0
10976,Best Picture,Master and Commander: The Far Side of the World,2004,0.0
10977,Best Picture,Mystic River,2004,0.0
10978,Best Picture,Seabiscuit,2004,0.0
11121,Best Picture,Million Dollar Baby,2005,1.0
11122,Best Picture,The Aviator,2005,0.0
11123,Best Picture,Finding Neverland,2005,0.0
11124,Best Picture,Ray,2005,0.0
11125,Best Picture,Sideways,2005,0.0
11230,Best Picture,Crash,2006,1.0
11231,Best Picture,Brokeback Mountain,2006,0.0
11232,Best Picture,Capote,2006,0.0
11233,Best Picture,"Good Night, and Good Luck.",2006,0.0
11234,Best Picture,Munich,2006,0.0
11376,Best Picture,The Departed,2007,1.0
11377,Best Picture,Babel,2007,0.0
11378,Best Picture,Letters from Iwo Jima,2007,0.0
11379,Best Picture,Little Miss Sunshine,2007,0.0
11380,Best Picture,The Queen,2007,0.0
11490,Best Picture,No Country for Old Men,2008,1.0
11491,Best Picture,Atonement,2008,0.0
11492,Best Picture,Juno,2008,0.0
11493,Best Picture,Michael Clayton,2008,0.0
11494,Best Picture,There Will Be Blood,2008,0.0
11637,Best Picture,Slumdog Millionaire,2009,1.0
11638,Best Picture,The Curious Case of Benjamin Button,2009,0.0
11639,Best Picture,Frost/Nixon,2009,0.0
11640,Best Picture,Milk,2009,0.0
11641,Best Picture,The Reader,2009,0.0
11793,Best Picture,The Hurt Locker,2010,1.0
11794,Best Picture,Avatar,2010,0.0
11795,Best Picture,The Blind Side,2010,0.0
11796,Best Picture,District 9,2010,0.0
11797,Best Picture,An Education,2010,0.0
11798,Best Picture,Inglourious Basterds,2010,0.0
11799,Best Picture,Precious: Based on the Novel 'Push' by Sapphire,2010,0.0
11800,Best Picture,A Serious Man,2010,0.0
11801,Best Picture,Up,2010,0.0
11802,Best Picture,Up in the Air,2010,0.0
11949,Best Picture,The King's Speech,2011,1.0
11950,Best Picture,Black Swan,2011,0.0
11951,Best Picture,The Fighter,2011,0.0
11952,Best Picture,Inception,2011,0.0
11953,Best Picture,The Kids Are All Right,2011,0.0
11954,Best Picture,127 Hours,2011,0.0
11955,Best Picture,The Social Network,2011,0.0
11956,Best Picture,Toy Story 3,2011,0.0
11957,Best Picture,True Grit,2011,0.0
11958,Best Picture,Winter's Bone,2011,0.0
12104,Best Picture,The Artist,2012,1.0
12105,Best Picture,The Descendants,2012,0.0
12106,Best Picture,Extremely Loud & Incredibly Close,2012,0.0
12107,Best Picture,The Help,2012,0.0
12108,Best Picture,Hugo,2012,0.0
12109,Best Picture,Midnight in Paris,2012,0.0
12110,Best Picture,Moneyball,2012,0.0
12111,Best Picture,The Tree of Life,2012,0.0
12112,Best Picture,War Horse,2012,0.0
12256,Best Picture,Argo,2013,1.0
12257,Best Picture,Amour,2013,0.0
12258,Best Picture,Beasts of the Southern Wild,2013,0.0
12259,Best Picture,Django Unchained,2013,0.0
12260,Best Picture,Les Mis_rables,2013,0.0
12261,Best Picture,Life of Pi,2013,0.0
12262,Best Picture,Lincoln,2013,0.0
12263,Best Picture,Silver Linings Playbook,2013,0.0
12264,Best Picture,Zero Dark Thirty,2013,0.0
12379,Best Picture,12 Years a Slave,2014,1.0
12380,Best Picture,American Hustle,2014,0.0
12381,Best Picture,Captain Phillips,2014,0.0
12382,Best Picture,Dallas Buyers Club,2014,0.0
12383,Best Picture,Gravity,2014,0.0
12384,Best Picture,Her,2014,0.0
12385,Best Picture,Nebraska,2014,0.0
12386,Best Picture,Philomena,2014,0.0
12387,Best Picture,The Wolf of Wall Street,2014,0.0
12501,Best Picture,Birdman or (The Unexpected Virtue of Ignorance),2015,1.0
12502,Best Picture,American Sniper,2015,0.0
12503,Best Picture,Boyhood,2015,0.0
12504,Best Picture,The Grand Budapest Hotel,2015,0.0
12505,Best Picture,The Imitation Game,2015,0.0
12506,Best Picture,Selma,2015,0.0
12507,Best Picture,The Theory of Everything,2015,0.0
12508,Best Picture,Whiplash,2015,0.0
12622,Best Picture,Spotlight,2016,1.0
12623,Best Picture,The Big Short,2016,0.0
12624,Best Picture,Bridge of Spies,2016,0.0
12625,Best Picture,Brooklyn,2016,0.0
12626,Best Picture,Mad Max: Fury Road,2016,0.0
12627,Best Picture,The Martian,2016,0.0
12628,Best Picture,The Revenant,2016,0.0
12629,Best Picture,Room,2016,0.0
12745,Best Picture,Moonlight,2017,1.0
12746,Best Picture,Arrival,2017,0.0
12747,Best Picture,Fences,2017,0.0
12748,Best Picture,Hacksaw Ridge,2017,0.0
12749,Best Picture,Hell or High Water,2017,0.0
12750,Best Picture,Hidden Figures,2017,0.0
12751,Best Picture,La La Land,2017,0.0
12752,Best Picture,Lion,2017,0.0
12753,Best Picture,Manchester by the Sea,2017,0.0
12871,Best Picture,The Shape of Water,2018,1.0
12872,Best Picture,Call Me by Your Name,2018,0.0
12873,Best Picture,Darkest Hour,2018,0.0
12874,Best Picture,Dunkirk,2018,0.0
12875,Best Picture,Get Out,2018,0.0
12876,Best Picture,Lady Bird,2018,0.0
12877,Best Picture,Phantom Thread,2018,0.0
12878,Best Picture,The Post,2018,0.0
12879,Best Picture,"Three Billboards outside Ebbing, Missouri",2018,0.0
12994,Best Picture,Green Book,2019,1.0
12995,Best Picture,Black Panther,2019,0.0
12996,Best Picture,BlacKkKlansman,2019,0.0
12997,Best Picture,Bohemian Rhapsody,2019,0.0
12998,Best Picture,The Favourite,2019,0.0
12999,Best Picture,Roma,2019,0.0
13000,Best Picture,A Star Is Born,2019,0.0
13001,Best Picture,Vice,2019,0.0
13117,Best Picture,Parasite,2020,1.0
13118,Best Picture,Ford v Ferrari,2020,0.0
13119,Best Picture,The Irishman,2020,0.0
13120,Best Picture,Jojo Rabbit,2020,0.0
13121,Best Picture,Joker,2020,0.0
13122,Best Picture,Little Women,2020,0.0
13123,Best Picture,Marriage Story,2020,0.0
13124,Best Picture,1917,2020,0.0
13125,Best Picture,Once upon a Time...in Hollywood,2020,0.0
13244,Best Picture,Nomadland,2021,1.0
13245,Best Picture,The Father,2021,0.0
13246,Best Picture,Judas and the Black Messiah,2021,0.0
13247,Best Picture,Mank,2021,0.0
13248,Best Picture,Minari,2021,0.0
13249,Best Picture,Promising Young Woman,2021,0.0
13250,Best Picture,Sound of Metal,2021,0.0
13251,Best Picture,The Trial of the Chicago 7,2021,0.0
13362,Best Picture,CODA,2022,1.0
13363,Best Picture,Belfast,2022,0.0
13364,Best Picture,Don't Look Up,2022,0.0
13365,Best Picture,Drive My Car,2022,0.0
13366,Best Picture,Dune,2022,0.0
13367,Best Picture,King Richard,2022,0.0
13368,Best Picture,Licorice Pizza,2022,0.0
13369,Best Picture,Nightmare Alley,2022,0.0
13370,Best Picture,The Power of the Dog,2022,0.0
13371,Best Picture,West Side Story,2022,0.0
